book_id,isbn,title,authors,publisher,published_year,genre,description,cover_image_url,lang
B00375,9781680000000.0,After I do,Taylor Jenkins Reid,Dreamscape Media,2023,Romance; Fiction; Psychology; Philosophy,"""From the author of Forever, Interrupted--hailed by Sarah Jio as 'moving, gorgeous, and at times heart-wrenching'--comes a breathtaking new novel about modern marriage, the depth of family ties, and the year that one remarkable heroine spends exploring both. When Lauren and Ryan's marriage reaches the breaking point, they come up with an unconventional plan. They decide to take a year off in the hopes of finding a way to fall in love again. One year apart, and only one rule: they cannot contact each other. Aside from that, anything goes. Lauren embarks on a journey of self-discovery, quickly finding that her friends and family have their own ideas about the meaning of marriage. These influences, as well as her own healing process and the challenges of living apart from Ryan, begin to change Lauren's ideas about monogamy and marriage. She starts to question: When you can have romance without loyalty and commitment without marriage, when love and lust are no longer tied together, what do you value? What are you willing to fight for? This is a love story about what happens when the love fades. It's about staying in love, seizing love, forsaking love, and committing to love with everything you've got. And above all, After I Do is the story of a couple caught up in an old game--and searching for a new road to happily ever after""--",https://covers.openlibrary.org/b/id/12878121-L.jpg,en
B00397,9781400000000.0,It Starts with Us,Colleen Hoover,"Simon & Schuster, Limited",2023,Romance; Young Adult; Fiction,"**Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas's side of the story and shares what comes next in this long-anticipated sequel to the ""glorious and touching"" (USA TODAY) #1 New York Times bestseller It Ends with Us.**Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date.But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life-and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter's life.Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the ""gripping, pulse-pounding"" (Sarah Pekkanen, author of Perfect Neighbors) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas's past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that ""no one delivers an emotional read like Colleen Hoover"" (Anna Todd, New York Times bestselling author).",https://covers.openlibrary.org/b/id/12749873-L.jpg,en
B00316,9781520000000.0,One True Loves,Taylor Jenkins Reid,Dreamscape Media,2022,Romance; Fiction,"In her twenties, Emma Blair marries her high school sweetheart, Jesse. They build a life for themselves, far away from the expectations of their parents and the people of their hometown in Massachusetts. They travel the world together, living life to the fullest and seizing every opportunity for adventure.On their first wedding anniversary, Jesse is on a helicopter over the Pacific when it goes missing. Just like that, Jesse is gone forever.Emma quits her job and moves home in an effort to put her life back together. Years later, now in her thirties, Emma runs into an old friend, Sam, and finds herself falling in love again. When Emma and Sam get engaged, it feels like Emma's second chance at happiness.That is, until Jesse is found. He's alive, and he's been trying all these years to come home to her. With a husband and a fiancÃ©, Emma has to now figure out who she is and what she wants, while trying to protect the ones she loves.Who is her one true love? What does it mean to love truly?Emma knows she has to listen to her heart. She's just not sure what it's saying.",https://covers.openlibrary.org/b/id/7434531-L.jpg,en
B00327,9781740000000.0,Hooked,Emily McIntire,Bloom Books,2024,Romance; Fiction,"A steamy romance with darker, mafia-like themes. DESCRIPTION: He wants revenge, but he wants her moreâ¦James has always had one agenda: destroy his enemy, Peter Michaels. When Peter's twenty-year-old daughter Wendy shows up in James's bar, he sees his way in. Seduce the girl and use her for his revenge. It's the perfect plan, until things in James's organization begin to crumble. Suddenly, he has to find the traitor in his midst, and his plan for revenge gets murkier as James starts to see Wendy as more than just a pawn in his game.Wendy has been cloistered away most of her life by her wealthy cold father, but a spontaneous night out with friends turns into an intense and addictive love affair with the dark and brooding James. As much as she knows James is dangerous, Wendy can't seem to shake her desire for him. But as their relationship grows more heated and she learns more about the world he moves in, she finds herself unsure if she's falling for the man known as James or the monster known as Hook.",https://covers.openlibrary.org/b/id/14420484-L.jpg,en
B00287,9781670000000.0,Icebreaker,Hannah Grace,Atria Books,2025,Romance; Young Adult; Sports,"**A TikTok sensation! Sparks fly when a competitive figure skater and hockey team captain are forced to share a rink.**Anastasia Allen has worked her entire life for a shot at Team USA. It looks like everything is going according to plan when she gets a full scholarship to the University of California, Maple Hills and lands a place on their competitive figure skating team.Nothing will stand in her way, not even the captain of the hockey team, Nate Hawkins.Nate is focus as team captain is on keeping his team on the ice. Which is tricky when a facilities mishap means they are forced to share a rink with the figure skating team including Anastasia, who clearly can't stand him.But when Anastasia's skating partner faces an uncertain future, she may have to look to Nate to take her shot.Sparks fly, but Anastasia isn't worried because she could never like a hockey player, right?",https://covers.openlibrary.org/b/id/13180728-L.jpg,en
B00295,9788500000000.0,Ugly Love,Colleen Hoover,"Galera Record, Galera",2024,Romance; Fiction,"ATTRACTION AT FIRST SIGHT CAN BE MESSYâ¦ When Tate Collins finds airline pilot Miles Archer passed out in front of her apartment door, it is definitely not love at first sight. They wouldn't even go so far as to consider themselves friends. But what they do have is an undeniable mutual attraction. He doesn't want love and she doesn't have time for a relationship, but their chemistry cannot be ignored. Once their desires are out in the open, they realize they have the perfect set-up, as long as Tate can stick to two rules: Never ask about the past and don't expect a future. Tate is determined that she can handle it, but when she realises that she can't, will she be able to say no to her sexy pilot when he lives just next door?",https://covers.openlibrary.org/b/id/12856728-L.jpg,en
B00123,9781980000000.0,The Secret Adversary,Agatha Christie,Cloud Cover Classics,2024,Mystery; Fiction; Health,"Tommy Beresford and Prudence 'Tuppence' Cowley are young, in loveâ¦ and flat broke. Just after Great War, there are few jobs available and the couple are desperately short of money. Restless for excitement, they decide to embark on a daring business scheme: Young Adventurers Ltd.-""willing to do anything, go anywhere."" Hiring themselves out proves to be a smart move for the couple. In their first assignment for the mysterious Mr. Whittingtont, all Tuppence has to do in their first job is take an all-expense paid trip to Paris and pose as an American named Jane Finn. But with the assignment comes a bribe to keep quiet, a threat to her life, and the disappearance of her new employer. Now their newest job are playing detective.Where is the real Jane Finn? The mere mention of her name produces a very strange reaction all over London. So strange, in fact, that they decided to find this mysterious missing lady. She has been missing for five years. And neither her body nor the secret documents she was carrying have ever been found. Now post-war England's economic recovery depends on finding her and getting the papers back. But he two young working undercover for the British ministry know only that her name and the only photo of her is in the hands of her rich American cousin. It isn't long before they find themselves plunged into more danger than they ever could have imagined-a danger that could put an abrupt end to their businessâ¦ and their lives.",https://covers.openlibrary.org/b/id/14590159-L.jpg,en
B00157,9789020000000.0,The Woods,Harlan Coben,De Boekerij,2021,Mystery; Thriller; Children; Fiction,"Twenty years ago, four teenagers at summer camp walked into the woods at night. Two were found murdered, and the others were never seen again. Four families had their lives changed forever. Now, two decades later, they are about to change again.For Paul Copeland, the county prosecutor of Essex, New Jersey, mourning the loss of his sister has only recently begun to subside. Cope, as he is known, is now dealing with raising his six- year-old daughter as a single father after his wife has died of cancer. Balancing family life and a rapidly ascending career as a prosecutor distracts him from his past traumas, but only for so long. When a homicide victim is found with evidence linking him to Cope, the well-buried secrets of the prosecutor's family are threatened.Is this homicide victim one of the campers who disappeared with his sister? Could his sister be alive? Cope has to confront so much he left behind that summer twenty years ago: his first love, Lucy; his mother, who abandoned the family; and the secrets that his Russian parents might have been hiding even from their own children. Cope must decide what is better left hidden in the dark and what truths can be brought to the light.",https://covers.openlibrary.org/b/id/4989400-L.jpg,en
B00218,9780010000000.0,Behind her eyes,Sarah Pinborough,"FLATIRON BOOKS, imusti",2021,Mystery; Thriller; Fiction; Philosophy,"""Only two can keep a secret if one of them is dead. David and Adele seem like the ideal pair. He's a successful psychiatrist, she is his picture-perfect wife who adores him. But why is he so controlling? And why is she keeping things hidden? As Louise, David's new secretary, is drawn into their orbit, she uncovers more puzzling questions than answers. The only thing that is crystal clear is that something in this marriage is very, very wrong. But Louise can't guess how wrong--and how far a person might go to protect their marriage's secrets. ""--""Destined to the the blockbuster book of 2017, Behind Her Eyes is a psychological thriller with a to-die-for twist for fans of Luckiest Girl Alive and Stephen King""--",https://covers.openlibrary.org/b/id/9254137-L.jpg,en
B00270,9798990000000.0,Under Your Scars,Ariel Anderson,Ariel N. Anderson,2023,Mystery; Thriller; Romance; Psychology; Health,"According to the FBI, I was considered a serial murderer after three kills.What do they call me after fifty-two?They call me the Silencer.One final bullet would have been all it took to stop me from taking another soul, and I would have been doing Meridian City a service by pulling that trigger.An angel crying for help stopped me, and that night, I took three lives for her. Then three turned into eight. Then eight turned into twenty. Twenty turned into twenty-one. Twenty one turned into twenty-three.Elena Young is the hero in my story, but I'm the villain in hers.And this is the kind of story where the villain gets the girl, even if it kills her.",https://covers.openlibrary.org/b/id/14809903-L.jpg,en
B00180,9789020000000.0,White nights,Ann Cleeves,A.W. Bruna,2021,Mystery; Thriller; Fiction; Art,"Bella Sinclair throws a party to launch an exhibition of her work and to introduce the paintings of Fran Hunter. When a mysterious Englishman bursts into tears and claims not to know who he is or where hes come from, then is found hanging from a rafter in a boathouse the next day, Detective Jimmy Perez is convinced that this is a local murder. He is reinforced in this belief when Roddy, Bellas musician nephew is murdered too. But the detectives relationship with Fran Hunter clouds his judgement. And this is a crazy time of the year when night blurs into day and nothing is quite as it seems.",https://covers.openlibrary.org/b/id/5355494-L.jpg,en
B00677,9780010000000.0,The Circus of Adventure,Enid Blyton,HarperCollins Publishers Limited,2021,Mystery; Children; Fiction,"Who is the strange pompous boy whom Bill has invited to his home for the holidays? The children soon discover that he is a prince, named Aloysius Gramondie, and has enemies on his trail. The enemies want to overthrow his uncle, who is too strong a ruler for his enemies, and to place the prince, who is just 11 years old, on the throne as a puppet ruler. Jack and Kiki find themselves following the others who are kidnapped and taken to a strange country of Tauri Hessia; but they find help in a circus, and with his new friends Jack will soon decide the fate of an entire nation.",https://covers.openlibrary.org/b/id/6817829-L.jpg,en
B00663,9780610000000.0,Alanna,Tamora Pierce,Turtleback Books,2024,Fantasy; Children; Fiction; Music,"""From now on, I'm Alan of Trebond, the younger twin. I'll be a knight.And so yound Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magin. So one day they decide to switch places. Disguised as a girl, Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin training as a page.But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and discern her enemies from her allies.Filled with swords and scorcery, adventure and intrigue, good and evil, Alanna's first adventure begins--one that will lead to the fulfillment of her dreams and the magical destiny that will mke her a legend in her land.",https://covers.openlibrary.org/b/id/9256278-L.jpg,en
B00005,9788410000000.0,The Kingdom of Fantasy,Elisabetta Dami; David NelÂ·lo; Larry Keys,"Editorial Planeta, S.A. (Destino)",2021,Fantasy; Children; Fiction,"""The Kingdom of Fantasy"" is a children's novel written by Italian author Geronimo Stilton. The book follows the adventures of Geronimo, a mouse journalist who is magically transported to a fantasy world called the Kingdom of Fantasy.In the story, Geronimo receives a mysterious invitation to visit the Kingdom of Fantasy from a queen who is in danger. He sets off on a quest to save her, encountering various magical creatures along the way, including fairies, trolls, and dragons. Throughout his journey, Geronimo must overcome challenges and use his intelligence and bravery to complete his mission.The book is filled with vivid descriptions of the Kingdom of Fantasy, including its landscapes, creatures, and culture. It also teaches valuable lessons about friendship, courage, and perseverance, making it an engaging and educational read for children.",https://covers.openlibrary.org/b/id/14416105-L.jpg,en
B00021,9781490000000.0,Dragonflight,Anne McCaffrey,Brilliance Audio,2025,Fantasy; Science Fiction; Children; Fiction; Science; Travel,"HOW CAN ONE GIRL SAVE AN ENTIRE WORLD? To the nobles who live in Benden Weyr, Lessa is nothing but a ragged kitchen girl. For most of her life she has survived by serving those who betrayed her father and took over his lands. Now the time has come for Lessa to shed her disguise--and take back her stolen birthright. But everything changes when she meets a queen dragon. The bond they share will be deep and last forever. It will protect them when, for the first time in centuries, Lessa's world is threatened by Thread, an evil substance that falls like rain and destroys everything it touches. Dragons and their Riders once protected the planet from Thread, but there are very few of them left these days. Now brave Lessa must risk her life, and the life of her beloved dragon, to save her beautiful world. . . .From the Paperback edition.",https://covers.openlibrary.org/b/id/10306696-L.jpg,en
B00042,9781720000000.0,The Sea Fairies,L. Frank Baum,CreateSpace Independent Publishing Platform,2022,Fantasy; Children; Fiction,"This is a tale of life beneath the sea, of mermaids and sea serpents and other strange inhabitants of the ocean depths. A little girl named Trot and Cap'n Bill, an old sailor, are invited by several mermaids to come and visit their under-water home. Baum wrote this story in the hope of interesting his readers in something other than Oz; in the preface he writes: ""I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences."" Of course, he did not succeed in distracting his fans from Oz, yet the book was eagerly read; the result of this attempt was that he was forced to introduce Trot and Cap'n Bill into the later Oz stories.",https://covers.openlibrary.org/b/id/1814237-L.jpg,en
B00060,9780550000000.0,Assassin's Apprentice,Robin Hobb,Bantam Books,2023,Fantasy; Fiction,"Young Fitz is the bastard son of the noble Prince Chivalry, raised in the shadow of the royal court by his father's gruff stableman. He is treated like an outcast by all the royalty except the devious King Shrewd, who has him secretly tutored in the arts of the assassin. For in Fitz's blood runs the magic Skill--and the darker knowledge of a child raised with the stable hounds and rejected by his family. As barbarous raiders ravage the coasts, Fitz is growing to manhood. Soon he will face his first dangerous, soul-shattering mission. And though some regard him as a threat to the throne, he may just be the key to the survival of the kingdom.From the Paperback edition.",https://covers.openlibrary.org/b/id/4915230-L.jpg,en
B00289,9789760000000.0,Stardust,Neil Gaiman,[Ithaki],2021,Fantasy; Fiction,"E-book extra: Neil Gaiman's ""Writing and the Imagination.""In the tranquil fields and meadows of long-ago England, there is a small hamlet that has stood on a jut of granite for 600 years. Just to the east stands a high stone wall, for which the village is named. Here, in the hamlet of Wall, young Tristran Thorn has lost his heart to the hauntingly beautiful Victoria Forester. And here, one crisp October eve, Tristran makes his love a promise -- an impetuous vow that will send him through the only breach in the wall, across the pasture ... and into the most exhilarating adventure of his life.",https://covers.openlibrary.org/b/id/8216379-L.jpg,en
B00084,9780790000000.0,The Puppet Masters,Robert A. Heinlein,"Blackstone Audiobooks, Blackstone Audio, Inc.",2021,Science Fiction; Fiction; Science,"First came the news that a flying saucer had landed in Iowa. Then came the announcement that the whole thing was a hoax. End of story. Case closed.Except that two agents of the most secret intelligence agency in the U.S. government were on the scene and disappeared without reporting back. Then four more follow up agents also disappeared. So the head of the agency and his two top agents went in and managed to get out with their discovery: an invasion is underway by slug-like aliens who can touch a human and completely control his or her mind. What the humans know, they know. What the slugs want, no matter what, the human will do. And most of Iowa is already under their control.Sam Cavanaugh was one of the agents who discovered the truth. Unfortunately, that was just before he was taken over by one of the aliens and began working for the invaders, with no will of his own. And he has just learned that a high official in the Treasury Department is now under control of the aliens. Since the Treasury Department includes the Secret Service, which safeguards the President of the United States, control of the entire nation is near at hand.",https://covers.openlibrary.org/b/id/14630675-L.jpg,en
B00102,9780590000000.0,"The Stars, Like Dust",Isaac Asimov,Random House Publishing Group,2023,Science Fiction; Adventure; Fiction; Science,"Biron Farrell was young and naÃ¯ve, but he was growing up fast. A radiation bomb planted in his dorm room changed him from an innocent student at the University of Earth to a marked man, fleeing desperately from an unknown assassin.He soon discovers that, many light-years away, his father, the highly respected Rancher of Widemos, has been murdered. Stunned, grief-stricken, and outraged, Biron is determined to uncover the reasons behind his father's death, and becomes entangled in an intricate saga of rebellion, political intrigue, and espionage.The mystery takes him deep into space where he finds himself in a relentless struggle with the power-mad despots of Tyrann. Now it is not just a case of life or death for Biron, but a question of freedom for the galaxy.",https://covers.openlibrary.org/b/id/6565338-L.jpg,en
B00079,9789990000000.0,Second Foundation,Isaac Asimov,Bantam Books,2022,Science Fiction; Fiction; History; Philosophy; Science,"After years of struggle, the Foundation lay in ruins -- destroyed by the mutant mind power of the Mule. But it was rumored that there was a Second Foundation hidden somewhere at the end of the Galaxy, established to preserve the knowledge of mankind through the long centuries of barbarism. The Mule had failed to find it the first time -- but now he was certain he knew where it lay.The fate of the Foundation rests on young Arkady Darell, only fourteen years old and burdened with a terrible secret. As its scientists girded for a final showdown with the Mule, the survivors of the First Foundation began their desperate search. They too wanted the Second Foundation destroyed... before it destroyed them.",https://covers.openlibrary.org/b/id/9261324-L.jpg,en
B00652,9781520000000.0,"The variable man, and other stories",Philip K. Dick; Philip Dick; Philip K. Dick,Positronic Publishing,2023,Science Fiction; Adventure; Fiction; Science; Travel,"""The Variable Man"" is a science fiction novella by American writer Philip K. Dick, which he wrote and sold before he had an agent.It was first published in Space Science Fiction (British), Vol. 2 No. 2, July 1953 and Space Science Fiction, September 1953 with the US publication illustrated by Alex Ebel.Despite the magazine cover dates it is unclear whether the first publication was in the UK or in the United States where magazines tended to be published farther ahead of their cover dates than in the UK. The Variable Man can be found in several collections of Dick's short stories, including The Variable Man and The Short Happy Life of the Brown Oxford.",https://covers.openlibrary.org/b/id/9251945-L.jpg,en
B00080,9780880000000.0,Radio Free Albemuth,Philip K. Dick; Philip K. Dick,Arbor House,2023,Science Fiction; Fiction; Politics; Science,"Science fiction novel, a wild and visionary alternate history of the United States. It is 1969, and a paranoid president has convulsed America in a vicious war against imaginary internal enemies. As the country slides into fascism, a struggling science-fiction writer named Philip K. Dick is trying to keep from becoming one of that war's casualties. Meanwhile, Dick's best friend, a record executive named Nicholas Brady, is receiving transmissions from an extraterrestrial intelligence, which he dubs Valis, who apparently wants him to overthrow the president.",https://covers.openlibrary.org/b/id/6643179-L.jpg,en
B00103,9781580000000.0,The Scarlet Plague,Jack London,Classic Publishers,2021,Science Fiction; Fiction; History; Science,"It is the year 2072, sixty years on from the scarlet plague that decimated the earth's population. As one of the few who knew life before the plague, James Howard Smith tries to impart what he knows to his grandsons while he still can. Jack London's visionary post-apocalyptic novel The Scarlet Plague was written in 1912.",https://covers.openlibrary.org/b/id/9377992-L.jpg,en
B00188,9789030000000.0,One By One,Freida McFadden,LAB uitgevers,2026,Horror; Mystery; Thriller; Fiction; Philosophy,"**One by one, they will get what they deserve...**Claire Matchett needs this trip. It will be a break from work and raising children. A chance to repair her damaged marriage. A week of hiking and hot tubbing with friends at a luxurious hotel in the woods, disconnected from the pressures of real life.Then, on a lonely dirt road, Claire's minivan breaks down. With no cell reception, the group has no choice but to walk the rest of the way to their remote accommodation. But the forest is dark and difficult to navigate and, hours later, they are lost. Hopelessly lost.As they venture deeper into the woods, the members of their party are struck down mysteriously, one by one. Are they being hunted? And by whatâor who? As Claire's dream vacation descends into a nightmare, something becomes clear: only one of them will return home alive.",https://covers.openlibrary.org/b/id/14603852-L.jpg,en
B00471,9781470000000.0,Dracul,Dacre Stoker; J. D. Barker; Dacre Stoker,Transworld Publishers Limited,2021,Horror; Thriller; Historical Fiction; Fiction,"It is 1868, and a twenty-one-year-old Bram Stoker waits in a desolate tower to face an indescribable evil. Armed only with crucifixes, holy water, and a rifle, he prays to survive a single night, the longest of his life. Desperate to record what he has witnessed, Bram scribbles down the events that led him here...A sickly child, Bram spent his early days bedridden in his parents' Dublin home, tended to by his caretaker, a young woman named Ellen Crone. When a string of strange deaths occur in a nearby town, Bram and his sister Matilda detect a pattern of bizarre behavior by Ellen--a mystery that deepens chillingly until Ellen vanishes suddenly from their lives. Years later, Matilda returns from studying in Paris to tell Bram the news that she has seen Ellen--and that the nightmare they've thought long ended is only beginning.",https://covers.openlibrary.org/b/id/8779602-L.jpg,en
B00657,9781400000000.0,The Lamb,Lucy Rose,"Orion Publishing Group, Limited",2025,Horror; Fiction,"Young Margot lives in the woods with Mama. Margot only knows what Mama's taught her, and sometimes, Mama's cannibalistic urges get the better of her. Together, they take in lost hikers - ""strays"" as Mama calls them - and make meals of them. But one day, a beautiful, disrupting, and maybe just as dangerous woman enters their hideaway, giving way to what could be another fatal shift.",https://covers.openlibrary.org/b/id/15106154-L.jpg,en
B00473,9798480000000.0,The Jewel of Seven Stars,Bram Stoker,Bram Stoker,2022,Horror; Thriller; Fiction; History,"This dark fantasy Bram Stoker book is full of suspense. Set in ancient Egypt, it will keep you on the edge of your seat with a twist Please Note: This book is easy to read in true text, not scanned images that can sometimes be difficult to decipher. This eBook has bookmarks at chapter headings and is printable up to two full copies per year.at the end. A must for Bram Stoker fans.",https://covers.openlibrary.org/b/id/2760301-L.jpg,en
B00462,9781990000000.0,The Great God Pan,Arthur Machen,CreateSpace Independent Publishing Platform,2023,Horror; Fiction; Art,"Arthur Machen's first book, THE GREAT GOD PAN, published in 1894, is still one of the greatest works of weird horror and decadence ever produced. Arthur Machen with his taste for the bizarre and macabre, unfurls the tale of a young girl cursed by her unnatural parentage to become a creature of shape-shifting, poly-sexual, demi-human evil.",https://covers.openlibrary.org/b/id/921610-L.jpg,en
B00482,9781670000000.0,Full moon horror,Jason Strange,Capstone,2022,Horror; Children; Fiction,"When his brother's car runs out of gas late at night, thirteen-year-old Jack Kipping and his friends are stranded on a lonely road--and the moon is full.",https://covers.openlibrary.org/b/isbn/9781669000105-L.jpg,en
